,class,sum
0,Insecta,4995
1,Actinopteri,3920
2,Mammalia,1660
3,Aves,1109
4,Malacostraca,553
5,Gastropoda,458
6,Amphibia,370
7,Arachnida,354
8,Lepidosauria,350
9,Anthozoa,304
10,Bivalvia,298
11,Chondrichthyes,235
12,Chromadorea,189
13,Cephalopoda,110
14,Polychaeta,101
15,Cestoda,71
16,Clitellata,67
17,Trematoda,67
18,Thecostraca,59
19,Echinoidea,42
20,Demospongiae,41
21,Branchiopoda,37
22,Monogenea,35
23,Collembola,33
24,Hydrozoa,32
25,Asteroidea,31
26,Holothuroidea,29
27,Enoplea,29
28,Ophiuroidea,28
29,Ascidiacea,27
30,Diplopoda,25
31,Polyplacophora,20
32,Hyperoartia,18
33,Pycnogonida,18
34,Hexanauplia,17
35,Rhabditophora,15
36,Crinoidea,15
37,Scyphozoa,13
38,Homoscleromorpha,13
39,Palaeacanthocephala,11
40,Cladistia,11
41,Pilidiophora,9
42,Enopla,9
43,Leptocardii,9
44,Gymnolaemata,7
45,Myxozoa,7
46,Chilopoda,7
47,Enteropneusta,6
48,Sipuncula,6
49,Caudofoveata,6
50,Ichthyostraca,6
51,Sagittoidea,5
